IDpole	OccurDate	Payment	IDclaim	Guarantee
90146396.100c	38056	1074	1206051	Damage
90146200.100a	38292	26	1203076	TPL
90156620.102a	38152	362	1201804	Damage
40201672.101d	38294	653	1206494	TPL
90140643.100a	37856	1598	203675	TPL
90184032.100a	38286	496	203951	Windscreen
90128782.101b	38115	Waiting	1204071	TPL
90179958.100a	37774	347	200118	TPL
90131499.101a	38249	1095	200163	Damage
90166398.100a	37936	5099	206836	TPL
80100061.10b	37726	261	12072	Windscreen
80201131.101a	37989	1986	1209450	TPL
90193260.100b	37913	258	206035	Windscreen
90148091.100a	37735	1212	11840	Theft
90155625.100a	38116	2001	1203685	Fire
90193189.100a	37884	2931	204476	Damage
90104516.100a	38315	477	200431	Damage
90131012.100a	37807	1153	201346	Damage
90131272.100a	38326	927	1203441	Theft
90163196.100a	37796	299	201097	Windscreen
90172191.100a	38195	366	1208253	Windscreen
90110859.100a	38142	184	1203140	Windscreen
90126133.101b	37677	266	9406	Windscreen
90104448.100b	38332	820	1209404	Windscreen
80100230.10b	37708	331	10280	TPL
90152203.101a	37723	52	11644	Windscreen
90172964.100a	38207	124	205643	Windscreen
90128708.101c	38131	929	1202922	TPL
50200117.101a	37959	89	208728	Windscreen
90124682.101a	38126	237	1203067	Theft
90134976.100a	38215	128	7239	Windscreen
80200726.101a	38240	1050	1202292	Damage
70205518.102a	37889	526	205134	Windscreen
1005024.101a	38341	1118	9035	Damage
90156671.100b	38049	702	1207903	Windscreen
90157777.100b	38139	280	1202754	TPL
90113382.102a	37817	897	201539	TPL
90154327.100a	38148	507	1202186	TPL
90105510.101a	38208	361	1209719	Windscreen
90111641.101a	38223	4287	1209405	TPL
90185853.100a	37626	311	7384	Windscreen
90188080.100c	38186	1752	207780	Other
90160797.100a	38222	117	208755	Windscreen
90145296.100a	38243	365	10906	TPL
90154839.100b	38165	268	1202224	Windscreen
90136374.100a	37655	298	8900	Windscreen
90110334.10a	37759	262	13449	Windscreen
90124862.102a	38244	282	207051	Windscreen
90147986.100a	37784	65	200269	Damage
90163328.100a	38276	0	1208438	TPL
90133178.101a	38209	554	7716	TPL
90179168.100a	38267	3233	200424	TPL
90168149.100a	37997	1251	1209060	Damage
90104660.101a	37984	56	209546	TPL
90172034.100b	37904	230	205386	Windscreen
90181916.100a	37954	399	207896	TPL
90155070.100a	37658	1523	8177	TPL
90167722.101a	37672	250	9132	Windscreen
90127762.100a	38192	1830	1204803	TPL
90157277.100a	38286	4287	1205296	TPL
90157804.100a	37945	1402	207994	Damage
90126111.101a	38266	73	203373	Damage
90157655.100a	38323	915	1201990	TPL
90133791.100a	37857	147	203320	Windscreen
90153013.100a	38200	969	204940	Fire
90184021.100a	38134	618	1202734	Theft
90172118.101a	38176	247	200133	Windscreen
90152789.100a	37864	250	204348	Windscreen
90159544.101a	37960	113	208453	Windscreen
90149881.100a	38328	8968	1201546	Damage
90163339.102a	37837	81	203619	Windscreen
90147873.101b	37692	230	10314	Windscreen
90146864.100a	38350	355	201516	TPL
90148998.100a	37705	1696	10055	TPL
90146986.100a	38023	960	1208191	Damage
90182182.100a	38232	902	207290	Windscreen
90146274.102a	37965	756	208671	Windscreen
90176800.100a	37801	2807	201021	TPL
90168169.100a	38122	741	1203088	Theft
90168122.100a	37651	233	8374	TPL
90154018.100a	38097	575	1204307	Damage
90101243.100a	37759	1121	13773	TPL
90151250.100a	37826	1596	202033	Theft
90147011.100b	37945	959	207886	Damage
90141488.100a	37818	164	203866	Windscreen
90192905.103a	38175	289	1208803	TPL
90148516.100a	38021	0	1207960	TPL
90159193.100a	38104	326	1204151	Windscreen
90115231.103a	37861	144	203509	Windscreen
90108378.101a	38226	400	9036	TPL
90153528.100b	37776	322	201067	TPL
90133970.103b	37703	299	10271	TPL
90189160.100b	38203	692	206749	Theft
90175876.101b	37677	448	9374	Windscreen
90162659.100a	37865	243	204169	Windscreen
90172021.100a	37742	47	11877	TPL
90104563.103c	37957	0	208242	Damage
90124874.101b	37678	5477	13408	TPL
90180064.100b	38152	247	1202322	Windscreen
90155126.100b	38310	686	204970	Windscreen
90133976.100a	38246	1830	1204668	TPL
90164530.100a	37781	840	200157	Damage
90146122.100a	37926	56	206275	Windscreen
90170653.101a	37721	265	11292	Windscreen
90103749.10a	37790	897	200494	TPL
90149567.100b	37726	897	11355	TPL
90133161.101a	37656	12692	8220	TPL
90146475.100a	37730	2452	11093	TPL
90193912.100a	38120	832	1203199	Theft
90134929.101a	37952	1402	207870	Damage
80200022.101b	38247	101	8893	Windscreen
90147730.100b	38304	5728	8569	TPL
70201517.10b	38350	208	206527	Windscreen
90144663.101a	37957	1794	208415	TPL
90145903.100a	37738	291	11733	Windscreen
90160897.100a	37744	403	13058	Windscreen
90148998.100a	38272	164	208126	Windscreen
90110859.101a	38195	1511	1201827	Fire
90131712.101a	38348	0	208298	TPL
90144660.100b	38054	115	1205970	TPL
90139476.100a	37829	897	202097	TPL
90135200.100a	38250	1192	200579	Theft
90180693.100a	38282	997	9827	TPL
90156333.100b	38183	3020	201502	Damage
90147048.100b	38317	558	1201606	TPL
90192868.100a	37870	897	203648	TPL
90153641.100a	38207	650	1202728	TPL
90157287.100a	37727	2421	10971	TPL
90147576.100a	37965	1051	208567	TPL
90130931.100a	37731	683	11314	Windscreen
80100161.10c	37683	897	9343	TPL
90147009.100a	37852	216	203622	Windscreen
90174235.100a	37922	58	206691	Windscreen
90127278.101a	37734	245	11310	Windscreen
90158171.100a	37979	2261	209260	TPL
90156253.100b	37945	3892	207676	TPL
90172426.100a	38038	275	1206758	Windscreen
90145878.100a	38327	6609	1209696	Theft
90108088.100a	38252	876	13325	Other
90181481.100a	37636	146	7887	Windscreen
90104327.101a	37809	278	201152	Damage
50200804.103a	37977	28018	209301	TPL
90130902.100c	38229	96	204472	Windscreen
90184242.100a	37994	57	1209379	TPL
90190296.100a	38118	438	1203144	TPL
90155710.100a	37733	102	12430	Windscreen
90183220.100a	38258	71	209094	TPL
90152566.100a	37749	1845	12511	TPL
90147571.100a	37959	1571	208290	TPL
90104588.102a	37955	3503	207911	TPL
90112542.101a	37760	215	13019	Windscreen
90153169.100a	37920	85	206091	TPL
30100030.101a	37681	260	9313	TPL
90128690.101a	37706	667	10323	TPL
90149987.102a	37662	298	9227	Windscreen
90118748.101b	37751	417	12270	TPL
90105057.10a	38321	19	1203227	Other
90116490.101c	37677	897	8974	TPL
90153748.100a	37653	1226	8227	Other
90180604.100a	38145	181	1202761	Windscreen
90131970.100a	38196	1950	1201389	TPL
90138542.100c	38257	5806	1207477	Damage
90194670.100a	37748	257	12361	Windscreen
90147330.100b	37816	218	201509	Windscreen
90127099.101b	37649	269	7924	TPL
90188971.101b	37875	167	204433	Windscreen
90146455.100a	38006	915	1208873	TPL
90149669.100a	38307	915	1202803	TPL
90128880.101a	37922	358	207722	Windscreen
90147779.100a	37955	378	208626	Windscreen
90146849.101a	38131	235	1203394	Windscreen
90151854.100a	38055	1251	1205992	Theft
90117568.100a	38188	472	204946	TPL
90152349.100a	38345	2697	206233	TPL
90145087.101b	38221	563	1203860	Theft
90128662.101c	38043	405	1206450	Windscreen
90139185.100a	38110	296	1204604	Windscreen
70205518.10b	37913	93	205804	Windscreen
90153408.100a	37640	171	7284	Windscreen
90126359.102b	37740	1163	11969	TPL
80200730.101a	38221	301	13505	Windscreen
90166422.100a	38279	473	1204345	TPL
90175920.100a	37852	0	203336	Windscreen
90188802.101c	37896	240	205621	Windscreen
1009521.100a	38033	3886	1207137	TPL
90127162.101b	38003	427	1208994	Windscreen
90132504.101a	37916	349	205886	Windscreen
90128680.101a	38313	378	202575	TPL
90108301.100a	38343	2356	1206511	Damage
90148145.100c	37961	320	208408	TPL
90153198.100b	38107	3767	1203773	Damage
90103576.101a	38204	65	1202880	Windscreen
90130924.100a	37835	97	202623	Windscreen
90163212.100a	38279	1401	7596	TPL
90125976.100a	38049	1830	1206464	TPL
90132590.100a	37624	760	7164	TPL
90182364.100a	38154	129	1208690	TPL
70201517.10a	37997	257	1209634	Windscreen
90171848.100c	38067	252	1205505	Windscreen
90110884.101c	37909	357	205814	TPL
90150972.100a	37736	351	11149	TPL
60100130.10a	38144	447	1202162	Theft
90131357.100a	38169	710	1204986	Windscreen
90165937.100a	37642	17	8062	TPL
90153433.100a	38253	69	206543	Windscreen
90157027.100a	38341	978	205957	Theft
90149742.100a	37877	671	204213	Theft
90167617.100a	37913	207	206194	Windscreen
90176434.100a	37633	3516	7322	Theft
90110986.100a	37769	897	13039	TPL
90171830.100a	37999	75	1209435	Windscreen
90109526.101a	38180	25	1207635	Other
90148619.100a	38282	1091	1206993	Windscreen
90194044.100c	37818	555	201821	Windscreen
90180911.101a	37625	541	7116	TPL
90102039.100a	38290	304	1203618	Windscreen
90150209.101a	37661	1539	8308	TPL
70200066.101a	38012	78	1208739	Windscreen
90149452.100a	37696	368	9961	Windscreen
90156023.101a	38257	337	9625	TPL
90187953.100a	38136	279	1202497	TPL
90110937.100c	37970	505	208666	TPL
90133930.100c	37727	1082	11065	TPL
90173850.100b	38090	628	1204512	TPL
90182345.100a	38108	840	1203964	Damage
70203120.100a	38218	421	1209179	Windscreen
90194787.100b	38285	281	1208403	Windscreen
1001366.100a	37747	194	12214	TPL
90157831.100a	38109	243	1204355	Windscreen
90157773.101b	37789	122	200599	Windscreen
90172960.100a	38052	100	1206308	Windscreen
90132634.101a	37963	339	208505	Windscreen
90190637.100a	37642	96	7921	TPL
90105227.101a	37965	307	209288	Windscreen
90148793.100a	38276	9739	1206325	TPL
90108741.101a	38236	3286	10834	Fire
90107155.101a	37725	525	11477	Other
90151851.100a	38304	694	1205033	Damage
90103801.100a	38312	915	1205090	TPL
90186827.100a	38156	46	1202638	Windscreen
90104224.10a	38195	862	1202160	TPL
90154361.100a	37752	1121	12359	TPL
90120964.100a	37843	698	202585	TPL
90150359.100a	37819	419	204688	Damage
90172760.100a	37622	368	6788	Windscreen
90126058.100c	37768	126	13413	TPL
90151456.100a	38231	1639	7793	TPL
1002009.100a	37888	420	204634	Windscreen
90154613.100b	37956	359	208104	TPL
90194764.100a	37925	897	206693	TPL
90169139.100a	38067	273	1207036	Windscreen
90121358.101a	38190	366	12161	Windscreen
90148227.100a	38035	65	1207233	Damage
90190949.100c	37796	420	201273	Windscreen
90104934.101a	38101	1331	1203820	TPL
90180158.100a	37904	108	205272	TPL
90116069.102b	37736	0	11482	TPL
90102142.101a	37875	647	204236	Damage
70206322.10b	37669	897	8891	TPL
90149741.100b	38158	254	1202050	Windscreen
90152464.100a	38123	600	1203438	Windscreen
1005600.101a	38148	792	1201866	Windscreen
90108065.102a	37723	897	11082	TPL
90104660.101a	37803	173	201150	TPL
90132963.101a	37846	615	203833	Windscreen
90179820.101a	37859	1119	203652	Damage
90173834.101a	38009	2058	1208422	TPL
90180135.100a	37693	1121	9910	TPL
90168936.100a	38240	49	7943	Windscreen
90177822.100b	38194	2802	209485	TPL
90164851.100a	37991	239	1210027	Windscreen
90151664.101a	37795	0	200686	TPL
90193763.100a	37869	365	204275	Damage
90145977.100a	37674	1261	8673	TPL
90109457.101a	38187	876	208793	Fire
90185146.100a	37873	0	207108	TPL
90105511.100b	38083	51	1204727	Windscreen
90134866.101f	38062	24519	1205708	TPL
61008462.100a	38116	2738	1203451	TPL
90140132.100a	38198	908	8178	Damage
90131322.102a	37783	897	200239	TPL
90159460.100b	38254	30	1206203	TPL
90187296.100a	38053	247	1206224	Windscreen
90103823.101b	37752	2452	12528	TPL
90168039.100c	37632	1121	7333	TPL
60100422.10b	38198	619	203217	Theft
90145650.100b	38062	313	1205854	Windscreen
90171967.100b	37937	897	207076	TPL
233.101a	37649	299	8035	Windscreen
90152297.100b	37798	193	200925	TPL
90147981.100a	37818	336	201739	Windscreen
90179387.100b	37782	705	200201	TPL
90104720.100a	37673	694	8720	Theft
90176487.100c	38277	100	10934	TPL
90168768.100b	38103	238	1203699	TPL
90158213.100c	38010	281	1209211	Windscreen
90120371.100a	37924	897	206295	TPL
90176012.100a	38163	262	1201926	Windscreen
90152138.101a	37916	660	205983	TPL
90134226.100a	38008	179	1209734	Windscreen
90178853.100a	38049	177	1206395	TPL
90134157.101a	37712	273	10373	Windscreen
90152956.101b	37809	88	203234	Damage
90141326.101a	37627	381	7069	TPL
90191768.100a	37838	748	202525	Theft
90174368.100b	37764	132	12696	TPL
90128565.101a	38284	89	13549	Other
90159226.100a	37719	2452	10738	TPL
90157490.100a	37899	57	205765	TPL
90159947.101b	37818	701	204809	TPL
90144767.100a	38097	297	1204899	Windscreen
90151178.100a	38169	1095	8044	Fire
70200828.100a	38022	1877	1207931	Damage
90178329.100a	38011	678	1208634	Theft
90114542.101b	37958	1402	208384	Damage
90162935.100b	38299	186	1208675	Windscreen
90145355.101c	37812	69	201484	TPL
90180851.100b	37798	766	200994	Damage
90125466.101a	37627	80	8115	Windscreen
90171276.100a	38276	907	10059	Fire
90123957.101a	37907	184	205940	Windscreen
90183909.100a	37807	255	201725	TPL
90155668.100a	38013	2680	1208245	Theft
90154288.101a	38088	2387	1204661	Theft
90133918.100a	37909	95	205661	Windscreen
1003635.100a	37782	1401	200186	TPL
90146437.102a	37921	317	206098	Windscreen
90112231.101a	37968	876	210067	Damage
80100161.10a	37996	588	1209088	TPL
90160255.100a	38014	0	1209312	Damage
90149381.101a	38235	1794	13723	TPL
90155091.100a	38236	78	1209157	Windscreen
90187088.100a	37677	560	8919	TPL
90105917.10a	37654	610	8150	Windscreen
90153590.101a	38265	14	1202001	TPL
90159507.100a	37672	195	10607	Windscreen
90151776.100a	38090	715	1205042	TPL
60100198.100b	38275	311	1204972	Windscreen
70200393.101a	38288	162	204473	Windscreen
90187312.100a	37941	62	207619	Windscreen
90161415.100a	37951	78	208174	Windscreen
90144759.102a	37883	897	204619	TPL
90153399.100b	37888	449	207061	TPL
90158409.100b	38089	915	1204453	TPL
90179846.100c	37747	110	13260	Windscreen
90131364.101b	37857	897	203410	TPL
30100121.101a	37897	206	205191	TPL
90134889.100b	37989	915	1209675	TPL
90125970.100b	38315	546	1205111	Theft
90154269.100a	37821	255	202750	Windscreen
90151564.100b	38245	352	202560	Windscreen
90145353.101a	37921	2577	206515	TPL
90146514.101b	37732	98	11318	TPL
90177932.100a	37786	228	200765	Windscreen
90133276.101b	38225	113	204425	Windscreen
90134874.100b	38042	441	1206799	Windscreen
90102631.101a	38279	389	200481	Damage
90112548.100a	38064	116	1206018	Windscreen
90175994.100b	38089	756	1205115	Windscreen
90141575.100a	38181	517	202674	Windscreen
90168874.101b	38264	421	209440	Windscreen
90148232.100a	38299	350	10822	Windscreen
90139179.101b	38080	372	1205017	TPL
90190097.100a	37971	483	208842	Theft
90174542.100c	37672	897	8870	TPL
90155399.100a	38309	6584	1202704	TPL
90151263.100a	38029	257	1207528	TPL
90172937.100a	38065	199	1205737	TPL
90184955.100a	38136	314	1202615	Windscreen
90146104.100b	38110	626	1204143	Fire
90158641.100a	38049	411	1206299	TPL
1005585.100a	38288	2386	10233	Damage
90111652.101a	37923	581	206094	TPL
90151252.100a	37883	2805	204516	Damage
90161415.100a	38022	80	1208174	Windscreen
90180744.100b	37773	1264	13392	Damage
90156635.101a	38169	543	205613	Windscreen
90102838.101c	37756	242	12741	Windscreen
90192868.100a	38104	915	1203648	TPL
90180201.100a	38135	1035	1203487	TPL
90187004.100a	38012	381	1208741	Windscreen
90145334.101a	38237	1876	8831	Theft
90139836.100a	38127	915	1203074	TPL
1002745.100a	37631	34	7292	Damage
90130932.100c	37687	276	9489	Windscreen
90133037.100b	38181	897	202219	TPL
80201138.102a	38088	115	1205569	Windscreen
90172396.100a	38017	492	1208851	Windscreen
90134329.100a	38350	628	1207358	TPL
90127898.100a	37790	214	206838	Windscreen
1002832.100a	37966	53	209289	Windscreen
60200198.10a	37776	85	200278	Damage
90147835.100a	37913	1226	206158	Damage
10100101.100a	37689	1776	9542	TPL
90172110.102c	37922	608	208063	Windscreen
90127323.101a	37654	226	7958	Windscreen
90146035.100a	38238	897	201944	TPL
90145980.100a	38017	8573	1208147	TPL
90105888.100a	38217	1507	206207	Fire
90171236.100a	38261	180	9728	Windscreen
90133481.100a	38303	28297	11045	TPL
90147307.100a	38248	11207	8352	TPL
90144538.101a	37798	178	201676	Windscreen
70206219.101a	38156	135	1202758	Windscreen
90146231.101a	38175	555	203338	Damage
90124464.101a	37738	566	12061	Windscreen
1005160.100a	38327	8234	10511	Fire
90185270.100b	38087	76	1204865	Windscreen
90180705.100b	37911	298	205549	TPL
1001171.100a	38008	515	1208566	TPL
1007790.100c	37754	379	12287	TPL
90166014.101a	38311	720	201275	TPL
90146204.100a	37860	131	203568	Windscreen
90168890.100a	37677	267	9121	Windscreen
90148924.100b	37794	148	200808	Windscreen
90108672.101c	38140	915	1202364	TPL
90179519.100a	38129	0	1202689	TPL
90182251.100a	37632	561	7082	TPL
90131696.100a	38288	7640	12911	TPL
90111244.10a	37833	526	202688	Other
90157495.100b	38109	324	1205384	Windscreen
90149179.100a	37762	897	12731	TPL
90133689.100a	37761	414	12730	Windscreen
90149284.100a	38207	897	11151	TPL
90169939.100c	37822	80	202351	Damage
90109527.101a	38188	534	204242	Damage
90153590.100b	37807	71	201166	TPL
20100218.10a	37813	916	201485	TPL
90147723.100d	37839	4565	202904	Theft
90163216.100a	38259	881	208555	Theft
90103747.10a	37974	295	209120	TPL
90174213.101b	38036	4467	1207118	Damage
90153169.103a	37730	2773	10978	Damage
90110868.101a	37858	2684	203451	TPL
90131622.100b	37842	163	202915	TPL
90115980.102a	38044	276	1207141	Windscreen
90145296.100a	37742	2659	11870	TPL
90131746.104b	37919	100	207199	Windscreen
90145141.100a	38054	894	1205979	Theft
90121561.101a	38043	1011	1206988	TPL
90157370.100a	38177	9705	205954	Fire
90166429.100a	37866	226	203503	Windscreen
90181882.100a	37670	2452	8856	TPL
90151813.100b	37760	1666	12872	TPL
80200157.10a	38231	1298	13006	TPL
90168874.103a	38181	411	205855	Windscreen
90179785.100a	38170	80	209310	Windscreen
90124966.101a	38110	69	1203753	TPL
90191401.100b	37698	207	11145	Windscreen
90160598.100a	38204	661	12869	TPL
90131283.101a	37921	474	206724	Windscreen
90113382.102a	38157	915	1201539	TPL
90160212.100a	38103	915	1204367	TPL
90182345.100a	37866	823	203964	Damage
90184030.100a	37657	561	8217	TPL
90168705.100a	38093	360	1204524	Windscreen
1011279.100a	38214	338	203287	Windscreen
90178801.100b	38267	225	208798	TPL
30100061.101a	38039	91	1207336	Windscreen
90119070.101a	38060	54	1205668	TPL
90165937.100a	38262	71	209014	Windscreen
90132463.100a	37714	261	11463	Windscreen
90111464.10a	37878	1681	205756	TPL
90128690.101a	38293	1212	1202595	TPL
90113441.102a	38144	245	1202196	Windscreen
90134941.100a	38180	542	1207728	Windscreen
90156520.102a	38287	216	200693	Windscreen
90169053.100c	38037	223	1207807	Windscreen
90124561.101b	37751	64	12554	TPL
90111314.101a	37676	897	8952	TPL
90148137.101a	37775	897	201301	TPL
40200408.100a	38009	2858	1208569	TPL
90154504.100a	38183	1121	13443	TPL
60200199.10a	37715	174	10650	TPL
90185269.100a	38131	213	1204075	TPL
90180064.100a	37822	242	202322	Windscreen
90160117.100b	38217	354	202113	Other
90185068.100a	37737	14	11992	TPL
90160159.100b	38128	915	1203443	TPL
90134840.100a	37994	1072	1209384	Damage
90108035.101a	38233	0	10543	Other
90111860.101a	37689	63	10311	Windscreen
90153058.100a	37747	424	12624	Windscreen
90149895.100a	38321	897	200943	TPL
90155412.100a	37981	88	209678	Damage
90151345.100a	37641	380	7489	Windscreen
50200824.101b	37745	327	12640	Windscreen
90157831.100b	38098	288	1204099	Damage
90181299.100a	38173	785	208901	TPL
90147300.100a	37776	389	200286	TPL
90150908.105b	37633	897	7346	TPL
90151902.100a	37738	447	11720	TPL
90146812.100b	37696	378	9903	Windscreen
90151776.100a	37884	701	205042	TPL
90133040.100b	37990	447	1209715	Windscreen
90148537.100a	38018	240	1207969	TPL
90126554.100a	38202	897	9966	TPL
90159507.100a	37816	218	201848	Windscreen
90181594.100a	37942	316	207636	Damage
90145804.100b	37701	145	10297	Windscreen
90146580.100a	37926	286	207133	Windscreen
90107373.101a	37667	349	8509	Damage
50200323.101a	37950	1051	207819	TPL
90122548.101b	38188	8968	1201546	Damage
90141123.100b	37944	2242	207504	TPL
90130914.100a	37712	2164	10470	TPL
90185193.100a	38160	296	1202598	Windscreen
90152644.100b	38103	293	1203993	Windscreen
90167846.100b	37673	191	9050	Windscreen
90148227.100a	37938	64	207233	Damage
90161077.100b	38047	915	1206700	TPL
90146378.100c	38139	465	1202811	Damage
90138166.100b	37792	442	200822	TPL
90153060.100a	38350	217	1206407	Windscreen
90164592.102a	37622	130	7199	Windscreen
90159544.101a	38013	115	1208453	Windscreen
90103785.10a	37784	1104	200342	TPL
90100969.100b	37865	267	203740	Damage
90151166.100a	37679	458	9347	Windscreen
90157574.100a	38186	322	1203719	Damage
40200071.102a	38315	209	205606	Windscreen
90184005.100a	38183	2494	1202927	Theft
90111771.100a	37860	182	204100	Windscreen
90157897.100b	38021	271	1208012	TPL
90179561.100a	38200	494	11444	Windscreen
90188828.100a	38284	218	1206574	TPL
90131259.101a	37886	419	204559	TPL
90193146.100a	37760	2705	12572	TPL
90127130.101b	37976	572	208849	Windscreen
90140640.100a	37768	561	13279	TPL
90131459.100b	38009	3262	1208688	Theft
90157278.100a	37779	106	200282	TPL
90145851.100a	37686	1121	10294	TPL
90179392.100a	38295	616	207809	Windscreen
90141266.101a	38210	51	200257	Windscreen
10200139.103a	37630	1495	7281	TPL
90170745.100b	37800	312	201257	Windscreen
90184864.102a	37641	405	7399	Windscreen
90166633.100a	37645	467	8030	Windscreen
90168374.100a	38010	316	1208600	Windscreen
90148856.102a	38212	897	201742	TPL
90131710.100a	38213	3	205372	TPL
90182476.100a	37831	437	202568	Windscreen
90109458.101a	38311	109	10939	Windscreen
90104979.102a	37851	216	203627	Windscreen
90191773.100a	38098	524	1204115	TPL
90132352.101a	37744	284	12426	Windscreen
90119253.101b	38057	180	1206023	TPL
90146984.101b	37915	713	206095	TPL
90173094.100a	37696	1716	9787	Damage
90158372.100b	38023	1430	1207462	Theft
90159288.100b	37982	351	209620	Damage
90164569.100a	38012	167	1209030	Windscreen
1009629.100b	38167	1880	1201053	TPL
90173850.100a	37884	616	204512	TPL
90182224.100a	37879	701	204288	Damage
90125976.100a	37925	1794	206464	TPL
90126004.101a	37831	12	202237	TPL
90149129.100b	38104	287	1204211	TPL
90190097.100b	38002	493	1208842	Theft
90121248.101b	37760	897	12972	TPL
90172110.102c	38175	21434	1209298	Theft
90148928.101a	38047	69	1206983	Windscreen
90176331.100a	38314	413	1203298	TPL
90159494.100b	38307	1830	1208175	TPL
90172734.101a	38236	184	1201778	Windscreen
90179839.100a	37845	66	202739	TPL
90139320.100c	37836	3159	202363	Damage
90105374.101b	38143	77	1202336	TPL
90167763.100a	37889	1351	204879	Damage
90144759.101b	38269	358	1205080	Other
60200077.10c	37693	897	9637	TPL
90181884.101a	38141	1787	1202488	Damage
90132881.100a	38224	1313	209473	Theft
90177942.102a	38255	1251	1208681	Damage
90139523.100a	38310	578	1207315	TPL
90182094.100b	37707	640	10784	Damage
90169222.100b	37750	86	12257	TPL
90156494.100a	37681	356	9677	Windscreen
80100030.10b	37741	589	12339	TPL
90192041.100a	37649	311	7985	Windscreen
90106797.10a	37652	897	10748	TPL
20200415.10b	38183	228	210174	Windscreen
90148489.103a	38197	64	205209	TPL
90179846.102a	38227	281	12115	Windscreen
90193038.100b	38073	263	1207307	Windscreen
90186758.100a	37805	213	201945	Windscreen
90141072.101a	38226	526	207126	Windscreen
90181916.100a	38002	1787	1209037	Theft
70200914.100a	38316	195	208874	TPL
90154393.100b	38085	199	1205020	Windscreen
90149557.103b	38201	328	10688	Other
90131589.101b	38342	4088	204283	TPL
90146163.100a	38289	263	1205503	Windscreen
90124456.101b	37908	348	205859	Windscreen
1002639.100a	37770	319	13121	TPL
90180211.100a	37687	233	10057	Damage
90152231.100b	37980	56	209882	TPL
90156531.100a	38203	221	9400	Windscreen
90166850.100a	38058	374	1206554	Windscreen
90155723.100c	37716	393	10805	Damage
90131440.101a	38128	1440	1202902	Damage
90186848.100a	37760	1577	12473	Other
90148563.102a	37951	876	207918	Other
90149611.100a	38038	356	1207140	Windscreen
1005340.100b	37670	1664	8677	Damage
90160071.100a	38297	72	203936	Windscreen
90134834.101a	38233	138	1206626	Windscreen
90126111.100a	37881	105	205030	Windscreen
90106074.102a	37929	420	207178	TPL
90123573.101a	38306	1620	204680	Damage
80100011.10a	38262	2877	201498	Theft
90176259.100a	38161	2373	1201674	TPL
90167918.100a	38310	301	7946	Windscreen
90116552.100b	37960	87	208321	Theft
90188046.100c	38033	1288	1207483	Damage
90108881.100a	38293	1191	1209272	Theft
1003380.100a	38195	510	1209521	Windscreen
90178902.101a	37736	52	11561	TPL
90159362.101a	37644	2274	7570	Damage
90128680.101a	37637	208	7911	Windscreen
90187312.100a	38032	0	1207145	TPL
1002085.100a	37803	381	201084	TPL
90174165.101a	38299	915	1204765	TPL
90176556.100a	37771	1406	13583	Other
90173865.100b	38314	0	209840	Theft
90128698.100b	37965	561	208583	TPL
